State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4,Change
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),48,66.2,18.2
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),38.3,55.2,16.9
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,37.7,50.5,12.8
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,38.4,54.5,16.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,0,0,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.4,0,15.4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),4.4,0,4.4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),9.6,0,9.6
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),7.4,0,7.4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.1,0,13.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),3.9,0,3.9
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Characteristics of Women,Women who are literate (%),87.5,0,87.5
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Characteristics of Women,Women with 10 or more years of schooling (%),53.5,43.7,9.8
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),19.4,10.2,9.2
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),1.5,4.8,3.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),7.8,2.3,-5.5
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),21.6,20.3,-1.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),24.6,10.5,-14.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),15.7,7.4,-8.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),55.4,34.9,20.5
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),18.7,9,9.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),64.2,45.5,18.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),94.1,0,94.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),71.9,55.9,16
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),68.6,44.4,24.2
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),69.1,56.8,12.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),3.1,0,3.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),80.4,61.1,19.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),67.3,46.9,20.4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100,100,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),20.7,0,20.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),94.9,79.2,15.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Any method (%),65.3,38,27.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Any modern method (%),57.2,37.8,19.4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Condom (%),4.9,1.2,3.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Female sterilization (%),46.4,35.6,10.8
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Injectables (%),1.2,0,1.2
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,IUD/PPIUD (%),2.7,0,2.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Male sterilization (%),0,0,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Pill (%),2,1.1,0.9
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Delivery Care,Births attended by skilled health personnel (%),98.6,98,0.6
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Delivery Care,Births delivered by caesarean section (%),11.5,4.6,6.9
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),0,0,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),10.7,4.8,5.9
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Delivery Care,Home births that were conducted by skilled health personnel (%),0.8,2.9,-2.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Delivery Care,Institutional births (%),97.8,96.1,1.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Delivery Care,Institutional births in public facility (%),96.7,96.1,0.6
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),47,0,47
